"status","deathDate"
"civilian",2015-09-07
"civilian",2015-09-07
"civilian",2015-09-07
"civilian",2015-09-07
"civilian",2015-09-06
"civilian",2015-09-06
"civilian",2015-09-06
"civilian",2015-09-06
"civilian",2015-09-06
"civilian",2015-09-05
"civilian",2015-09-05
"civilian",2015-09-05
"civilian",2015-09-05
"civilian",2015-09-05
"civilian",2015-09-04
"civilian",2015-09-04
"civilian",2015-09-04
"civilian",2015-09-04
"civilian",2015-09-04
"civilian",2015-09-03
"civilian",2015-09-02
"civilian",2015-09-01
"civilian",2015-09-01
"civilian",2015-09-01
"civilian",2015-09-01
"civilian",2015-09-01
"civilian",2015-08-31
"civilian",2015-08-31
"civilian",2015-08-31
"civilian",2015-08-30
"civilian",2015-08-30
"civilian",2015-08-29
"civilian",2015-08-29
"civilian",2015-08-29
"civilian",2015-08-28
"civilian",2015-08-28
"civilian",2015-08-28
"civilian",2015-08-28
"civilian",2015-08-28
"civilian",2015-08-27
"civilian",2015-08-27
"civilian",2015-08-27
"civilian",2015-08-27
"civilian",2015-08-27
"civilian",2015-08-26
"civilian",2015-08-26
"civilian",2015-08-26
"civilian",2015-08-25
"civilian",2015-08-25
"civilian",2015-08-25
"civilian",2015-08-25
"civilian",2015-08-25
"civilian",2015-08-23
"civilian",2015-08-23
"civilian",2015-08-23
"civilian",2015-08-23
"civilian",2015-08-23
"civilian",2015-08-22
"civilian",2015-08-22
"civilian",2015-08-22
"civilian",2015-08-22
"civilian",2015-08-22
"civilian",2015-08-22
"civilian",2015-08-21
"civilian",2015-08-21
"civilian",2015-08-21
"civilian",2015-08-21
"civilian",2015-08-20
"civilian",2015-08-20
"civilian",2015-08-20
"civilian",2015-08-19
"civilian",2015-08-19
"civilian",2015-08-19
"civilian",2015-08-19
"civilian",2015-08-17
"civilian",2015-08-17
"civilian",2015-08-16
"civilian",2015-08-16
"civilian",2015-08-16
"civilian",2015-08-15
"civilian",2015-08-15
"civilian",2015-08-15
"civilian",2015-08-15
"civilian",2015-08-14
"civilian",2015-08-14
"civilian",2015-08-14
"civilian",2015-08-14
"civilian",2015-08-13
"civilian",2015-08-12
"civilian",2015-08-12
"civilian",2015-08-12
"civilian",2015-08-12
"civilian",2015-08-12
"civilian",2015-08-11
"civilian",2015-08-11
"civilian",2015-08-11
"civilian",2015-08-10
"civilian",2015-08-10
"civilian",2015-08-09
"civilian",2015-08-09
"civilian",2015-08-09
"civilian",2015-08-08
"civilian",2015-08-08
"civilian",2015-08-08
"civilian",2015-08-08
"civilian",2015-08-08
"civilian",2015-08-07
"civilian",2015-08-07
"civilian",2015-08-07
"civilian",2015-08-07
"civilian",2015-08-07
"civilian",2015-08-07
"civilian",2015-08-06
"civilian",2015-08-06
"civilian",2015-08-06
"civilian",2015-08-05
"civilian",2015-08-05
"civilian",2015-08-05
"civilian",2015-08-05
"civilian",2015-08-05
"civilian",2015-08-05
"civilian",2015-08-04
"civilian",2015-08-03
"civilian",2015-08-03
"civilian",2015-08-03
"civilian",2015-08-03
"civilian",2015-08-03
"civilian",2015-08-02
"civilian",2015-08-01
"civilian",2015-08-01
"civilian",2015-08-01
"civilian",2015-07-31
"civilian",2015-07-31
"civilian",2015-07-31
"civilian",2015-07-31
"civilian",2015-07-30
"civilian",2015-07-30
"civilian",2015-07-30
"civilian",2015-07-29
"civilian",2015-07-29
"civilian",2015-07-29
"civilian",2015-07-28
"civilian",2015-07-28
"civilian",2015-07-28
"civilian",2015-07-27
"civilian",2015-07-27
"civilian",2015-07-27
"civilian",2015-07-26
"civilian",2015-07-26
"civilian",2015-07-25
"civilian",2015-07-25
"civilian",2015-07-25
"civilian",2015-07-25
"civilian",2015-07-24
"civilian",2015-07-24
"civilian",2015-07-23
"civilian",2015-07-23
"civilian",2015-07-23
"civilian",2015-07-23
"civilian",2015-07-23
"civilian",2015-07-23
"civilian",2015-07-22
"civilian",2015-07-22
"civilian",2015-07-22
"civilian",2015-07-22
"civilian",2015-07-22
"civilian",2015-07-21
"civilian",2015-07-21
"civilian",2015-07-21
"civilian",2015-07-20
"civilian",2015-07-20
"civilian",2015-07-20
"civilian",2015-07-20
"civilian",2015-07-20
"civilian",2015-07-20
"civilian",2015-07-19
"civilian",2015-07-18
"civilian",2015-07-18
"civilian",2015-07-18
"civilian",2015-07-18
"civilian",2015-07-18
"civilian",2015-07-17
"civilian",2015-07-17
"civilian",2015-07-17
"civilian",2015-07-17
"civilian",2015-07-17
"civilian",2015-07-16
"civilian",2015-07-16
"civilian",2015-07-16
"civilian",2015-07-16
"civilian",2015-07-16
"civilian",2015-07-16
"civilian",2015-07-16
"civilian",2015-07-15
"civilian",2015-07-15
"civilian",2015-07-14
"civilian",2015-07-14
"civilian",2015-07-13
"civilian",2015-07-13
"civilian",2015-07-13
"civilian",2015-07-13
"civilian",2015-07-13
"civilian",2015-07-12
"civilian",2015-07-12
"civilian",2015-07-12
"civilian",2015-07-12
"civilian",2015-07-12
"civilian",2015-07-12
"civilian",2015-07-11
"civilian",2015-07-11
"civilian",2015-07-10
"civilian",2015-07-10
